symbol,signal_date,entry_date,exit_date,setup,score,entry,stop,target,exit,exit_reason,days_held,ret_pct,r_multiple,year,qty,pnl,equity
BEL,2023-12-07,2023-12-08,2023-12-11,BLOWOFF EXTENSION,61.0,154.63,159.27,142.87,159.27,STOP,1,-3.1,-1.034,2023,2709.9,-12990.0,4289285.0
JINDALSTEL,2023-12-13,2023-12-14,2023-12-14,BLOWOFF EXTENSION,50.0,738.25,757.28,682.78,757.28,STOP,0,-2.679,-1.039,2023,1452.5,-28727.0,4260558.0
HCLTECH,2023-12-18,2023-12-19,2023-12-29,BLOWOFF EXTENSION,67.0,1340.48,1374.45,1239.76,1335.43,TIME_STOP,7,0.277,0.109,2023,794.6,2950.0,4263508.0
LTM,2023-12-18,2023-12-19,2023-12-20,BLOWOFF EXTENSION,50.0,5838.96,6013.21,5480.41,6013.21,STOP,1,-3.086,-1.034,2023,182.5,-32893.0,4230615.0
BIOCON,2024-01-04,2024-01-05,2024-01-05,BLOWOFF EXTENSION,70.0,279.82,288.59,253.7,288.59,STOP,0,-3.237,-1.032,2024,3618.0,-32771.0,4197844.0
PETRONET,2024-01-04,2024-01-05,2024-01-05,BLOWOFF EXTENSION,63.0,212.09,216.74,201.82,216.74,STOP,0,-2.293,-1.046,2024,4948.2,-24064.0,4173780.0
GODREJPROP,2024-01-05,2024-01-08,2024-01-12,BLOWOFF EXTENSION,67.0,2197.8,2268.17,2017.95,2268.17,STOP,4,-3.303,-1.032,2024,444.8,-32292.0,4141488.0
TATAPOWER,2024-01-12,2024-01-15,2024-01-23,BLOWOFF EXTENSION,52.0,350.31,358.28,328.18,359.46,STOP,5,-2.714,-1.192,2024,2955.6,-28100.0,4113388.0
CIPLA,2024-01-24,2024-01-25,2024-02-05,BLOWOFF EXTENSION,62.0,1354.43,1392.58,1274.62,1392.58,STOP,6,-2.918,-1.036,2024,759.2,-30007.0,4083381.0
BAJFINANCE,2024-04-01,2024-04-02,2024-04-12,BLOWOFF EXTENSION,71.0,708.92,726.25,664.66,710.02,TIME_STOP,7,-0.255,-0.104,2024,1440.0,-2603.0,4080778.0
CHOLAFIN,2024-04-02,2024-04-03,2024-04-04,BLOWOFF EXTENSION,61.0,1179.47,1206.87,1108.1,1206.87,STOP,1,-2.424,-1.044,2024,865.0,-24730.0,4056048.0
HINDZINC,2024-04-04,2024-04-05,2024-04-08,BLOWOFF EXTENSION,77.0,303.06,312.99,280.47,313.26,STOP,1,-3.467,-1.058,2024,3063.5,-32188.0,4023860.0
ABCAPITAL,2024-04-04,2024-04-05,2024-04-16,BLOWOFF EXTENSION,66.0,203.35,210.45,184.32,210.45,STOP,6,-3.597,-1.029,2024,2287.0,-16728.0,4007132.0
RVNL,2024-04-25,2024-04-26,2024-04-29,BLOWOFF EXTENSION,63.0,282.09,291.87,261.15,291.87,STOP,1,-3.569,-1.029,2024,3073.0,-30938.0,3976194.0
BHARATFORG,2024-04-26,2024-04-29,2024-05-08,BLOWOFF EXTENSION,50.0,1285.6,1314.68,1180.76,1314.68,STOP,6,-2.364,-1.045,2024,773.2,-23499.0,3952695.0
GVT&D,2024-05-22,2024-05-23,2024-05-23,BLOWOFF EXTENSION,80.0,1395.58,1442.19,1132.97,1442.19,STOP,0,-3.442,-1.03,2024,636.0,-30552.0,3922143.0
JINDALSTEL,2024-05-22,2024-05-23,2024-06-03,BLOWOFF EXTENSION,65.0,1053.24,1089.07,965.74,1075.61,TIME_STOP,7,-2.225,-0.654,2024,821.0,-19240.0,3902903.0
HDFCLIFE,2024-06-14,2024-06-18,2024-06-27,DEAD-CAT BOUNCE,62.0,587.72,599.67,563.67,585.34,TIME_STOP,7,0.305,0.15,2024,1660.2,2976.0,3905879.0
LTF,2024-06-18,2024-06-19,2024-06-20,BLOWOFF EXTENSION,54.0,174.29,178.94,159.4,178.94,STOP,1,-2.766,-1.038,2024,5602.6,-27009.0,3878870.0
HDFCBANK,2024-06-20,2024-06-21,2024-06-25,BLOWOFF EXTENSION,71.0,800.92,819.95,760.78,819.95,STOP,2,-2.477,-1.043,2024,1210.8,-24020.0,3854850.0
HDFCLIFE,2024-07-09,2024-07-10,2024-07-10,BLOWOFF EXTENSION,63.0,616.37,628.52,590.84,628.52,STOP,0,-2.072,-1.051,2024,1563.5,-19968.0,3834882.0
FEDERALBNK,2024-07-12,2024-07-15,2024-07-23,BLOWOFF EXTENSION,52.0,191.22,195.99,179.42,200.59,STOP,5,-5.003,-2.003,2024,5013.7,-47965.0,3786917.0
NTPC,2024-08-01,2024-08-02,2024-08-13,BLOWOFF EXTENSION,52.0,395.8,407.38,371.76,387.21,TIME_STOP,7,2.07,0.707,2024,2391.9,19597.0,3806514.0
TRENT,2024-08-13,2024-08-14,2024-08-16,BLOWOFF EXTENSION,50.0,6310.7,6486.45,5687.15,6486.45,STOP,1,-2.886,-1.036,2024,150.8,-27464.0,3779050.0
NESTLEIND,2024-09-23,2024-09-24,2024-09-24,BLOWOFF EXTENSION,61.0,1316.05,1342.32,1259.88,1342.32,STOP,0,-2.098,-1.051,2024,717.9,-19821.0,3759229.0
PAGEIND,2024-10-16,2024-10-17,2024-10-23,BLOWOFF EXTENSION,55.0,44723.58,45813.08,42449.8,42449.8,TARGET,4,4.987,2.047,2024,21.0,46868.0,3806097.0
COFORGE,2024-11-26,2024-11-27,2024-11-27,BLOWOFF EXTENSION,59.0,1696.34,1726.05,1582.91,1726.05,STOP,0,-1.852,-1.058,2024,560.9,-17622.0,3788475.0
SHREECEM,2024-12-04,2024-12-05,2024-12-13,BLOWOFF EXTENSION,71.0,26796.56,27493.83,25342.23,27493.83,STOP,6,-2.703,-1.039,2024,35.3,-25601.0,3762875.0
VEDL,2024-12-12,2024-12-13,2024-12-19,BLOWOFF EXTENSION,56.0,472.74,486.06,437.99,437.99,TARGET,4,7.254,2.575,2024,1989.9,68240.0,3831114.0
EICHERMOT,2025-01-03,2025-01-06,2025-01-15,BLOWOFF EXTENSION,67.0,5198.08,5347.44,4847.06,4973.41,TIME_STOP,7,4.224,1.47,2025,184.3,40457.0,3871571.0
LTF,2025-03-24,2025-03-25,2025-04-04,BLOWOFF EXTENSION,79.0,151.44,156.55,140.32,149.93,TIME_STOP,7,0.9,0.267,2025,5682.3,7745.0,3879316.0
TATAPOWER,2025-03-24,2025-03-25,2025-04-04,DEAD-CAT BOUNCE,69.0,374.68,382.87,355.5,379.2,TIME_STOP,7,-1.308,-0.598,2025,2588.4,-12685.0,3866630.0
ABCAPITAL,2025-03-24,2025-03-25,2025-04-02,DEAD-CAT BOUNCE,65.0,183.07,188.99,166.67,188.99,STOP,5,-3.337,-1.031,2025,2674.5,-16338.0,3850292.0
ABCAPITAL,2025-04-22,2025-04-23,2025-04-23,BLOWOFF EXTENSION,73.0,202.45,208.58,187.1,208.58,STOP,0,-3.132,-1.034,2025,4710.8,-29870.0,3820422.0
CDSL,2025-04-22,2025-04-23,2025-04-23,DEAD-CAT BOUNCE,71.0,1293.15,1335.87,1204.99,1335.87,STOP,0,-3.405,-1.031,2025,670.7,-29533.0,3790889.0
HDFCBANK,2025-04-22,2025-04-23,2025-05-05,BLOWOFF EXTENSION,65.0,938.13,961.0,886.79,941.01,TIME_STOP,7,-0.407,-0.167,2025,1010.2,-3857.0,3787032.0
ADANIPOWER,2025-04-23,2025-04-24,2025-04-30,DEAD-CAT BOUNCE,78.0,114.69,118.14,107.03,107.03,TARGET,4,6.581,2.184,2025,8232.7,62138.0,3849170.0
OFSS,2025-04-24,2025-04-25,2025-04-29,DEAD-CAT BOUNCE,84.0,8039.1,8245.76,7394.74,8245.76,STOP,2,-2.672,-1.039,2025,51.9,-11158.0,3838012.0
VMM,2025-05-06,2025-05-07,2025-05-07,BLOWOFF EXTENSION,69.0,123.1,127.59,112.24,127.59,STOP,0,-3.746,-1.028,2025,6410.9,-29563.0,3808449.0
CANBK,2025-05-14,2025-05-15,2025-05-16,BLOWOFF EXTENSION,69.0,97.6,100.39,91.03,100.39,STOP,1,-2.951,-1.036,2025,9755.2,-28097.0,3780353.0
BSE,2025-05-14,2025-05-15,2025-05-20,BLOWOFF EXTENSION,56.0,2408.4,2492.38,2142.23,2504.4,STOP,3,-4.088,-1.172,2025,337.6,-33240.0,3747113.0
BHARATFORG,2025-05-15,2025-05-16,2025-05-19,DEAD-CAT BOUNCE,69.0,1231.86,1263.07,1136.67,1263.07,STOP,1,-2.635,-1.04,2025,760.5,-24684.0,3722429.0
DELHIVERY,2025-05-15,2025-05-16,2025-05-19,DEAD-CAT BOUNCE,53.0,321.83,329.33,301.4,335.85,STOP,1,-4.459,-1.913,2025,1502.6,-21563.0,3700866.0
APLAPOLLO,2025-05-16,2025-05-19,2025-05-19,BLOWOFF EXTENSION,55.0,1767.16,1801.62,1654.92,1801.62,STOP,0,-2.051,-1.052,2025,523.6,-18976.0,3681890.0
BAJAJ-AUTO,2025-05-27,2025-05-28,2025-06-02,DEAD-CAT BOUNCE,52.0,8551.47,8711.97,8100.36,8100.36,TARGET,3,5.178,2.759,2025,107.6,47662.0,3729552.0
ICICIGI,2025-06-09,2025-06-10,2025-06-13,BLOWOFF EXTENSION,79.0,1984.0,2027.28,1867.78,1862.06,TARGET,3,6.049,2.773,2025,470.0,56400.0,3785952.0
IDFCFIRSTB,2025-06-09,2025-06-10,2025-06-19,BLOWOFF EXTENSION,59.0,71.62,73.32,67.88,70.54,TIME_STOP,7,1.415,0.598,2025,13215.4,13393.0,3799345.0
OFSS,2025-06-17,2025-06-18,2025-06-26,DEAD-CAT BOUNCE,53.0,9211.56,9420.93,8613.8,8613.8,TARGET,6,6.392,2.813,2025,103.1,60714.0,3860059.0
ASHOKLEY,2025-06-27,2025-06-30,2025-07-03,BLOWOFF EXTENSION,63.0,121.62,123.57,116.75,123.57,STOP,3,-1.704,-1.063,2025,7934.7,-16444.0,3843615.0
DALBHARAT,2025-06-27,2025-06-30,2025-07-02,BLOWOFF EXTENSION,57.0,2179.81,2218.43,2082.33,2218.43,STOP,2,-1.872,-1.057,2025,440.8,-17988.0,3825627.0
BHARTIARTL,2025-06-27,2025-06-30,2025-07-09,BLOWOFF EXTENSION,56.0,1989.96,2030.48,1893.72,2018.13,TIME_STOP,7,-1.516,-0.745,2025,185.7,-5601.0,3820026.0
PNB,2025-07-02,2025-07-03,2025-07-14,BLOWOFF EXTENSION,67.0,109.11,111.58,103.18,107.3,TIME_STOP,7,1.564,0.694,2025,8752.7,14936.0,3834962.0
ASIANPAINT,2025-07-03,2025-07-04,2025-07-08,DEAD-CAT BOUNCE,73.0,2397.99,2450.31,2290.52,2450.31,STOP,2,-2.283,-1.046,2025,399.8,-21888.0,3813074.0
LICHSGFIN,2025-07-17,2025-07-18,2025-07-18,BLOWOFF EXTENSION,60.0,624.37,633.65,602.59,633.65,STOP,0,-1.588,-1.068,2025,1526.8,-15138.0,3797936.0
BAJAJ-AUTO,2025-08-20,2025-08-21,2025-09-01,BLOWOFF EXTENSION,60.0,8633.24,8790.58,8237.57,8790.58,STOP,6,-1.923,-1.055,2025,110.0,-18259.0,3779677.0
MUTHOOTFIN,2025-09-09,2025-09-10,2025-09-16,BLOWOFF EXTENSION,61.0,2887.37,2937.75,2721.62,2937.75,STOP,4,-1.846,-1.058,2025,327.3,-17443.0,3762234.0
M&M,2025-09-09,2025-09-10,2025-09-19,BLOWOFF EXTENSION,57.0,3631.29,3707.7,3346.84,3563.58,TIME_STOP,7,1.766,0.839,2025,259.0,16610.0,3778845.0
HAL,2025-09-15,2025-09-16,2025-09-17,BLOWOFF EXTENSION,60.0,4735.87,4829.14,4493.65,4829.14,STOP,1,-2.07,-1.051,2025,199.5,-19556.0,3759289.0
MAZDOCK,2025-09-15,2025-09-16,2025-09-17,BLOWOFF EXTENSION,53.0,2893.58,2958.49,2745.95,2958.49,STOP,1,-2.344,-1.045,2025,128.0,-8680.0,3750609.0
COCHINSHIP,2025-09-18,2025-09-19,2025-09-22,BLOWOFF EXTENSION,71.0,1883.74,1946.93,1735.63,1946.93,STOP,1,-3.457,-1.03,2025,445.2,-28989.0,3721620.0
MCX,2025-10-15,2025-10-16,2025-10-28,BLOWOFF EXTENSION,71.0,1883.12,1936.05,1684.71,1863.9,TIME_STOP,7,0.921,0.328,2025,494.1,8569.0,3730189.0
360ONE,2025-10-16,2025-10-17,2025-10-20,BLOWOFF EXTENSION,77.0,1144.35,1173.94,1075.64,1173.94,STOP,1,-2.687,-1.039,2025,814.9,-25058.0,3705131.0
RADICO,2025-10-21,2025-10-23,2025-10-23,BLOWOFF EXTENSION,70.0,3273.22,3333.8,3023.56,3333.8,STOP,0,-1.952,-1.055,2025,283.0,-18081.0,3687050.0
GODREJPROP,2025-10-21,2025-10-23,2025-10-27,BLOWOFF EXTENSION,69.0,2277.52,2339.62,2121.63,2339.62,STOP,2,-2.828,-1.037,2025,404.7,-26067.0,3660983.0
CIPLA,2025-10-21,2025-10-23,2025-10-28,BLOWOFF EXTENSION,64.0,1625.21,1660.75,1548.25,1548.25,TARGET,3,4.638,2.121,2025,211.9,15974.0,3676957.0
BPCL,2025-11-04,2025-11-06,2025-11-06,BLOWOFF EXTENSION,61.0,350.4,358.21,329.72,358.21,STOP,0,-2.33,-1.045,2025,2623.4,-21418.0,3655539.0
BHEL,2025-11-04,2025-11-06,2025-11-10,BLOWOFF EXTENSION,50.0,263.19,269.91,245.57,269.91,STOP,2,-2.654,-1.04,2025,3472.3,-24255.0,3631284.0
LAURUSLABS,2025-12-26,2025-12-29,2025-12-30,BLOWOFF EXTENSION,55.0,1076.75,1097.08,1030.82,1097.08,STOP,1,-1.989,-1.053,2025,843.1,-18057.0,3613228.0
FORCEMOT,2026-01-01,2026-01-02,2026-01-02,BLOWOFF EXTENSION,69.0,20434.54,21136.12,18498.05,21136.12,STOP,0,-3.535,-1.03,2026,38.6,-27902.0,3585326.0
JSWSTEEL,2026-01-05,2026-01-06,2026-01-14,BLOWOFF EXTENSION,57.0,1171.09,1191.83,1124.89,1191.83,STOP,6,-1.871,-1.057,2026,765.4,-16770.0,3568556.0
JINDALSTEL,2026-01-05,2026-01-06,2026-01-08,BLOWOFF EXTENSION,57.0,1073.33,1093.14,1031.19,1031.19,TARGET,2,3.828,2.073,2026,831.2,34151.0,3602707.0
UNIONBANK,2026-01-15,2026-01-16,2026-01-16,BLOWOFF EXTENSION,56.0,173.95,176.56,157.5,176.56,STOP,0,-1.599,-1.067,2026,5177.8,-14402.0,3588305.0
PAGEIND,2026-04-08,2026-04-09,2026-04-09,DEAD-CAT BOUNCE,84.0,35027.1,35933.0,32718.64,35933.0,STOP,0,-2.688,-1.039,2026,25.6,-24113.0,3564191.0
NMDC,2026-04-15,2026-04-16,2026-04-16,BLOWOFF EXTENSION,51.0,86.54,88.64,81.43,88.64,STOP,0,-2.519,-1.042,2026,10296.4,-22445.0,3541746.0
DIXON,2026-04-17,2026-04-20,2026-04-28,DEAD-CAT BOUNCE,53.0,11258.73,11514.16,10592.67,11514.16,STOP,6,-2.37,-1.045,2026,78.6,-20985.0,3520761.0
POLICYBZR,2026-04-24,2026-04-27,2026-04-27,DEAD-CAT BOUNCE,82.0,1665.33,1714.75,1555.03,1714.75,STOP,0,-3.069,-1.034,2026,528.5,-27013.0,3493748.0
SRF,2026-05-08,2026-05-11,2026-05-20,DEAD-CAT BOUNCE,75.0,2767.23,2839.54,2574.59,2617.2,TIME_STOP,7,5.324,2.038,2026,315.6,46502.0,3540250.0
COFORGE,2026-05-11,2026-05-12,2026-05-19,DEAD-CAT BOUNCE,68.0,1358.24,1400.54,1247.92,1400.54,STOP,5,-3.216,-1.033,2026,627.7,-27419.0,3512831.0
LAURUSLABS,2026-05-12,2026-05-13,2026-05-14,BLOWOFF EXTENSION,65.0,1258.84,1297.62,1155.29,1297.62,STOP,1,-3.182,-1.033,2026,303.2,-12145.0,3500686.0
MCX,2026-05-15,2026-05-18,2026-05-20,BLOWOFF EXTENSION,62.0,3346.65,3448.68,3026.77,3448.68,STOP,2,-3.15,-1.033,2026,111.9,-11794.0,3488892.0
GRASIM,2026-05-22,2026-05-25,2026-06-03,BLOWOFF EXTENSION,52.0,3138.86,3206.0,2935.0,3099.0,TIME_STOP,7,1.17,0.547,2026,277.9,10205.0,3499097.0
TMPV,2026-05-28,2026-05-29,2026-05-29,DEAD-CAT BOUNCE,83.0,397.25,403.22,361.75,403.22,STOP,0,-1.603,-1.067,2026,2202.1,-14023.0,3485075.0
EXIDEIND,2026-05-28,2026-05-29,2026-06-02,BLOWOFF EXTENSION,72.0,391.88,398.42,354.21,398.42,STOP,2,-1.77,-1.06,2026,2223.3,-15421.0,3469653.0
CUMMINSIND,2026-05-28,2026-05-29,2026-06-09,BLOWOFF EXTENSION,61.0,6021.47,6137.76,5428.22,5635.0,TIME_STOP,7,6.321,3.273,2026,56.2,21384.0,3491037.0
AXISBANK,2026-06-15,2026-06-16,2026-06-24,BLOWOFF EXTENSION,55.0,1358.19,1383.97,1296.21,1383.97,STOP,6,-1.999,-1.053,2026,642.6,-17446.0,3473591.0
BPCL,2026-06-17,2026-06-18,2026-06-29,DEAD-CAT BOUNCE,73.0,314.98,321.62,299.89,308.7,TIME_STOP,7,1.896,0.9,2026,2757.0,16465.0,3490055.0
PETRONET,2026-06-17,2026-06-18,2026-06-29,BLOWOFF EXTENSION,52.0,289.26,295.91,273.69,282.25,TIME_STOP,7,2.325,1.012,2026,1219.9,8204.0,3498260.0
CDSL,2026-06-22,2026-06-23,2026-07-02,DEAD-CAT BOUNCE,85.0,1365.23,1405.57,1267.48,1335.8,TIME_STOP,7,2.057,0.696,2026,3.6,101.0,3498361.0
INDHOTEL,2026-06-22,2026-06-23,2026-07-02,BLOWOFF EXTENSION,71.0,722.06,740.74,679.75,722.0,TIME_STOP,7,-0.092,-0.036,2026,0.1,-0.0,3498361.0
OFSS,2026-06-26,2026-06-29,2026-07-01,BLOWOFF EXTENSION,56.0,10963.53,11116.78,9924.74,11116.78,STOP,2,-1.499,-1.072,2026,79.8,-13110.0,3485251.0
PAYTM,2026-07-02,2026-07-03,2026-07-07,BLOWOFF EXTENSION,60.0,1203.89,1236.37,1123.74,1236.37,STOP,2,-2.799,-1.038,2026,723.7,-24388.0,3460863.0
OBEROIRLTY,2026-07-06,2026-07-07,2026-07-16,BLOWOFF EXTENSION,71.0,1944.05,1998.11,1765.04,1892.3,TIME_STOP,7,2.563,0.922,2026,445.1,22175.0,3483038.0
